Time(s),Fx,Fy,Fz,Mx,My,Mz
0.000001,-0.0445,0.0412,0.0779,-0.0008,-0.0012,0.0000
0.010039,-0.0382,0.0341,0.0727,-0.0006,-0.0011,-0.0001
0.020079,-0.0358,0.0258,0.0838,-0.0003,-0.0010,-0.0001
0.030109,-0.0367,0.0238,0.0832,-0.0003,-0.0009,-0.0002
0.040138,-0.0374,0.0183,0.0668,-0.0002,-0.0008,-0.0001
0.050167,-0.0319,0.0206,0.0784,-0.0003,-0.0008,-0.0002
0.060195,-0.0301,0.0208,0.0573,-0.0003,-0.0007,-0.0002
0.070224,-0.0284,0.0174,0.0488,-0.0004,-0.0006,-0.0001
0.080253,-0.0238,0.0162,0.0360,-0.0003,-0.0005,0.0000
0.090282,-0.0228,0.0169,0.0244,-0.0001,-0.0004,0.0001
0.100311,-0.0218,0.0139,0.0297,-0.0001,-0.0004,0.0001
0.110340,-0.0210,0.0149,0.0188,-0.0002,-0.0005,0.0001
0.120370,-0.0202,0.0121,0.0247,0.0000,-0.0004,0.0001
0.130398,-0.0195,0.0060,0.0248,-0.0001,-0.0004,0.0001
0.140427,-0.0189,0.0077,0.0038,-0.0001,-0.0004,0.0001
0.150456,-0.0153,0.0039,0.0007,0.0000,-0.0003,0.0002
0.160484,-0.0151,0.0058,-0.0073,0.0002,-0.0003,0.0002
0.170513,-0.0149,0.0039,-0.0041,0.0001,-0.0003,0.0002
0.180542,-0.0148,0.0058,-0.0117,0.0001,-0.0002,0.0003
0.190570,-0.0146,0.0004,-0.0133,-0.0001,-0.0003,0.0002
0.200597,-0.0114,0.0009,-0.0094,0.0000,-0.0003,0.0001
0.210626,-0.0115,-0.0040,-0.0059,-0.0001,-0.0003,0.0000
0.220654,-0.0117,-0.0085,-0.0081,-0.0000,-0.0003,-0.0000
0.230682,-0.0119,-0.0089,-0.0153,-0.0000,-0.0003,-0.0000
0.240710,-0.0089,-0.0111,-0.0112,-0.0001,-0.0003,0.0001
0.250739,-0.0062,-0.0131,-0.0181,-0.0001,-0.0002,0.0001
0.260768,-0.0069,-0.0166,-0.0085,-0.0001,-0.0002,0.0001
0.270796,-0.0044,-0.0145,-0.0210,-0.0002,-0.0001,0.0002
0.280824,-0.0084,-0.0161,-0.0269,-0.0003,-0.0002,0.0000
0.290852,-0.0058,-0.0175,-0.0216,-0.0002,-0.0002,-0.0001
0.300880,-0.0034,-0.0153,-0.0327,-0.0001,-0.0002,0.0001
0.310908,-0.0045,-0.0114,-0.0321,0.0000,-0.0001,0.0001
0.320936,-0.0054,-0.0116,-0.0211,0.0002,-0.0001,0.0001
0.330965,-0.0031,-0.0135,-0.0165,0.0002,0.0000,0.0002
0.340994,-0.0010,-0.0080,-0.0176,0.0002,-0.0000,0.0002
0.351024,-0.0023,-0.0085,-0.0185,0.0002,0.0000,0.0002
0.361052,-0.0033,-0.0125,-0.0037,-0.0001,-0.0000,-0.0001
0.371090,-0.0043,-0.0089,-0.0166,-0.0000,-0.0001,-0.0000
0.381119,-0.0021,-0.0111,-0.0176,0.0001,-0.0000,0.0001
0.391147,-0.0033,-0.0077,-0.0081,0.0001,0.0000,-0.0001
0.401177,-0.0043,-0.0118,-0.0152,0.0002,0.0000,-0.0001
0.411205,-0.0052,-0.0083,-0.0112,0.0003,0.0000,-0.0002
0.421235,-0.0060,-0.0088,-0.0023,0.0004,0.0002,-0.0002
0.431263,-0.0068,-0.0092,-0.0048,0.0004,0.0002,-0.0002
0.441292,-0.0043,-0.0113,-0.0018,0.0003,0.0002,-0.0003
0.451321,-0.0052,-0.0079,0.0009,0.0003,0.0001,-0.0002
0.461349,-0.0030,-0.0065,0.0034,0.0004,0.0001,-0.0002
0.471379,-0.0040,-0.0036,0.0213,0.0004,0.0002,-0.0001
0.481406,-0.0018,-0.0027,0.0164,0.0002,0.0002,0.0000
0.491434,0.0001,-0.0019,0.0016,0.0002,0.0000,0.0001
0.501462,-0.0012,-0.0030,-0.0066,0.0002,0.0001,0.0001
0.511491,0.0007,-0.0058,-0.0086,0.0003,0.0001,0.0002
0.521519,-0.0007,-0.0065,-0.0158,0.0003,0.0001,0.0002
0.531547,-0.0020,-0.0071,-0.0222,0.0001,-0.0000,0.0002
0.541576,-0.0001,-0.0023,-0.0279,0.0003,0.0000,0.0003
0.551605,-0.0014,0.0002,-0.0332,0.0001,0.0000,0.0004
0.561633,-0.0026,-0.0047,-0.0273,0.0002,-0.0000,0.0003
0.571662,0.0026,-0.0019,-0.0221,0.0002,0.0001,0.0003
0.581690,0.0040,-0.0012,-0.0120,0.0003,0.0001,0.0002
0.591717,0.0054,0.0031,-0.0031,0.0001,0.0001,0.0002
0.601746,0.0067,0.0069,-0.0056,0.0000,0.0002,0.0002
0.611773,0.0078,0.0032,-0.0129,0.0001,0.0000,0.0001
0.621800,0.0056,0.0016,0.0014,0.0002,0.0001,0.0001
0.631828,0.0068,0.0019,-0.0014,0.0003,0.0000,0.0002
0.641856,0.0048,0.0005,0.0013,0.0004,-0.0000,0.0002
0.651884,0.0060,-0.0026,0.0090,0.0005,0.0000,0.0002
0.661912,0.0041,-0.0036,0.0054,0.0005,-0.0001,0.0002
0.671941,0.0055,-0.0027,-0.0084,0.0004,-0.0001,0.0003
0.681970,0.0066,0.0016,-0.0051,0.0005,0.0000,0.0003
0.691997,0.0046,0.0002,0.0033,0.0006,0.0001,0.0003
0.702025,0.0059,-0.0029,-0.0051,0.0005,0.0001,0.0003
0.712053,0.0009,-0.0057,-0.0073,0.0004,0.0001,0.0003
0.722091,-0.0036,-0.0046,-0.0093,0.0004,0.0000,0.0003
0.732119,-0.0046,-0.0091,-0.0112,0.0003,0.0001,0.0002
0.742148,-0.0023,-0.0076,-0.0128,0.0002,0.0000,0.0003
0.752177,-0.0004,-0.0099,0.0068,0.0004,0.0001,0.0001
0.762205,0.0015,-0.0084,-0.0071,0.0003,0.0001,0.0001
0.772233,-0.0031,-0.0107,-0.0091,0.0003,0.0001,-0.0000
